budget_id,user_id,category,monthly_limit
1,152,Rent,38423.0
2,366,Rent,46724.0
3,367,Insurance,23382.0
4,448,Emi,22892.0
5,110,Utilities,27165.0
6,343,Healthcare,49156.0
7,49,Education,27248.0
8,385,Travel,20956.0
9,32,Insurance,11815.0
10,486,Education,36623.0
11,167,Utilities,22594.0
12,347,Emi,39096.0
13,443,Emi,40845.0
14,151,Healthcare,9265.0
15,477,Rent,25639.0
16,40,Insurance,14137.0
17,214,Food,10874.0
18,230,Rent,15034.0
19,88,Travel,25702.0
20,131,Insurance,10682.0
21,109,Travel,8060.0
22,145,Emi,5032.0
23,440,Utilities,23514.0
24,19,Healthcare,40730.0
25,206,Healthcare,25904.0
26,78,Travel,40638.0
27,374,Emi,15160.0
28,369,Food,19569.0
29,382,Education,36888.0
30,498,Emi,18610.0
31,321,Utilities,9382.0
32,253,Travel,32518.0
33,233,Entertainment,44474.0
34,300,Shopping,30689.0
35,329,Utilities,24666.0
36,394,Food,19869.0
37,204,Rent,12551.0
38,296,Healthcare,37954.0
39,70,Travel,20596.0
40,395,Utilities,46204.0
41,169,Entertainment,9438.0
42,116,Food,44626.0
43,461,Shopping,8703.0
44,50,Healthcare,37507.0
45,276,Entertainment,8589.0
46,90,Education,16449.0
47,422,Rent,44892.0
48,189,Entertainment,39366.0
49,207,Utilities,45212.0
50,491,Utilities,13738.0
51,438,Travel,43326.0
52,57,Education,31203.0
53,267,Shopping,47804.0
54,34,Utilities,31540.0
55,225,Emi,6409.0
56,8,Rent,30880.0
57,102,Education,10131.0
58,440,Travel,30535.0
59,64,Entertainment,17544.0
60,302,Rent,18033.0
61,30,Education,23355.0
62,138,Education,43944.0
63,282,Rent,11477.0
64,444,Entertainment,37341.0
65,61,Shopping,29338.0
66,7,Shopping,7548.0
67,28,Travel,48897.0
68,172,Rent,5871.0
69,203,Rent,12537.0
70,109,Education,29073.0
71,117,Education,39130.0
72,351,Food,19501.0
73,108,Education,39927.0
74,323,Utilities,34367.0
75,133,Shopping,36549.0
76,9,Utilities,19101.0
77,82,Healthcare,46405.0
78,250,Entertainment,42474.0
79,389,Rent,23698.0
80,353,Rent,19388.0
81,36,Healthcare,12104.0
82,267,Travel,5087.0
83,368,Healthcare,9855.0
84,428,Education,28246.0
85,198,Travel,42921.0
86,474,Shopping,30866.0
87,41,Education,45690.0
88,475,Rent,36294.0
89,88,Utilities,46059.0
90,239,Utilities,9278.0
91,219,Insurance,38130.0
92,472,Utilities,9468.0
93,30,Shopping,44962.0
94,229,Healthcare,26642.0
95,88,Insurance,8270.0
96,430,Entertainment,20921.0
97,429,Emi,36808.0
98,137,Travel,24463.0
99,114,Entertainment,49698.0
100,381,Entertainment,26275.0
101,313,Utilities,31170.0
102,459,Insurance,12008.0
103,199,Entertainment,34601.0
104,232,Education,23808.0
105,240,Rent,13272.0
106,372,Education,24017.0
107,371,Travel,6050.0
108,137,Food,36850.0
109,107,Rent,23710.0
110,53,Utilities,48389.0
111,38,Education,15761.0
112,223,Healthcare,46282.0
113,343,Travel,38589.0
114,233,Shopping,8098.0
115,51,Food,44495.0
116,236,Utilities,38949.0
117,460,Utilities,20266.0
118,186,Education,48879.0
119,352,Healthcare,46407.0
120,334,Food,8121.0
121,491,Education,41022.0
122,81,Entertainment,7491.0
123,267,Emi,18368.0
124,420,Travel,44482.0
125,110,Food,39625.0
126,25,Emi,28427.0
127,223,Education,5098.0
128,50,Healthcare,5618.0
129,162,Entertainment,48745.0
130,475,Healthcare,49941.0
131,286,Shopping,16794.0
132,410,Utilities,8952.0
133,489,Healthcare,32883.0
134,64,Travel,9179.0
135,229,Healthcare,28348.0
136,244,Rent,6911.0
137,76,Insurance,6347.0
138,384,Emi,33419.0
139,60,Food,35634.0
140,282,Emi,41163.0
141,492,Utilities,10142.0
142,73,Shopping,14742.0
143,42,Travel,26325.0
144,127,Education,46897.0
145,444,Healthcare,15319.0
146,125,Education,28742.0
147,463,Utilities,19163.0
148,480,Utilities,11933.0
149,284,Emi,10955.0
150,420,Shopping,16148.0
151,214,Insurance,37357.0
152,120,Shopping,23056.0
153,151,Education,5515.0
154,241,Emi,36310.0
155,148,Healthcare,41391.0
156,204,Food,32161.0
157,396,Education,37889.0
158,86,Education,26367.0
159,82,Utilities,44087.0
160,149,Rent,22203.0
161,412,Entertainment,16278.0
162,85,Food,11022.0
163,211,Entertainment,19653.0
164,218,Shopping,13478.0
165,72,Insurance,31193.0
166,256,Entertainment,46240.0
167,226,Insurance,45332.0
168,321,Entertainment,14623.0
169,95,Food,24396.0
170,320,Education,49325.0
171,298,Food,49731.0
172,308,Utilities,45289.0
173,170,Education,15805.0
174,500,Travel,18460.0
175,40,Utilities,15771.0
176,53,Entertainment,5526.0
177,326,Education,8366.0
178,25,Travel,28796.0
179,197,Emi,42147.0
180,337,Travel,28815.0
181,13,Rent,17875.0
182,273,Travel,32739.0
183,201,Utilities,27677.0
184,465,Emi,42401.0
185,35,Rent,35186.0
186,16,Utilities,19978.0
187,192,Insurance,39214.0
188,360,Rent,17692.0
189,427,Education,39538.0
190,383,Food,13348.0
191,342,Entertainment,14571.0
192,39,Food,31959.0
193,85,Entertainment,17261.0
194,7,Education,37045.0
195,243,Healthcare,32890.0
196,420,Rent,41787.0
197,74,Utilities,11850.0
198,468,Emi,28302.0
199,256,Entertainment,8414.0
200,371,Rent,7545.0
201,248,Travel,21553.0
202,90,Entertainment,16795.0
203,357,Food,28136.0
204,444,Travel,24562.0
205,444,Utilities,36542.0
206,297,Food,18468.0
207,363,Insurance,18236.0
208,360,Healthcare,38838.0
209,14,Entertainment,11211.0
210,207,Shopping,26098.0
211,451,Utilities,21496.0
212,297,Travel,25870.0
213,467,Emi,14361.0
214,406,Utilities,11991.0
215,266,Food,9590.0
216,5,Entertainment,32282.0
217,101,Travel,28396.0
218,115,Emi,19264.0
219,486,Food,28592.0
220,467,Rent,47043.0
221,292,Healthcare,13455.0
222,177,Emi,41069.0
223,160,Insurance,5365.0
224,187,Shopping,41597.0
225,179,Shopping,16548.0
226,121,Insurance,25686.0
227,331,Food,22096.0
228,100,Utilities,5248.0
229,301,Entertainment,44612.0
230,136,Rent,15556.0
231,33,Healthcare,6246.0
232,275,Rent,6528.0
233,2,Travel,5057.0
234,48,Healthcare,5829.0
235,96,Shopping,30964.0
236,436,Emi,37912.0
237,322,Travel,30662.0
238,2,Insurance,20573.0
239,131,Rent,27927.0
240,384,Entertainment,44712.0
241,254,Healthcare,37632.0
242,434,Insurance,32234.0
243,153,Education,31217.0
244,59,Education,16084.0
245,348,Food,13495.0
246,162,Entertainment,8673.0
247,191,Utilities,13414.0
248,164,Rent,21771.0
249,449,Travel,42067.0
250,466,Food,25922.0
251,133,Travel,19188.0
252,255,Food,7715.0
253,159,Rent,34805.0
254,137,Food,48401.0
255,441,Utilities,7013.0
256,340,Rent,43915.0
257,370,Healthcare,5482.0
258,317,Healthcare,35116.0
259,60,Healthcare,10850.0
260,240,Food,46091.0
261,191,Food,17578.0
262,261,Emi,42326.0
263,380,Utilities,34985.0
264,262,Utilities,26298.0
265,178,Emi,40049.0
266,194,Healthcare,13393.0
267,296,Entertainment,37122.0
268,4,Utilities,8341.0
269,351,Healthcare,41895.0
270,59,Healthcare,26168.0
271,328,Rent,10974.0
272,78,Food,24871.0
273,336,Shopping,48433.0
274,108,Education,33166.0
275,296,Insurance,37433.0
276,161,Utilities,13632.0
277,189,Education,26569.0
278,116,Travel,28277.0
279,372,Food,18943.0
280,127,Emi,33213.0
281,57,Shopping,19761.0
282,454,Healthcare,46401.0
283,56,Emi,30264.0
284,389,Shopping,27747.0
285,478,Insurance,23266.0
286,487,Utilities,40054.0
287,426,Travel,28096.0
288,298,Insurance,22683.0
289,6,Shopping,31083.0
290,462,Utilities,47126.0
291,377,Rent,18771.0
292,469,Utilities,39519.0
293,25,Food,27718.0
294,488,Food,48713.0
295,136,Rent,39395.0
296,368,Entertainment,35994.0
297,168,Insurance,6711.0
298,369,Education,37482.0
299,470,Insurance,23832.0
300,483,Rent,18954.0
301,286,Rent,29657.0
302,373,Insurance,12426.0
303,178,Healthcare,5130.0
304,386,Travel,22366.0
305,287,Emi,25810.0
306,496,Healthcare,22578.0
307,61,Food,16820.0
308,237,Emi,41499.0
309,271,Rent,29276.0
310,24,Rent,34154.0
311,481,Travel,29287.0
312,483,Rent,23368.0
313,346,Utilities,15767.0
314,68,Insurance,8662.0
315,471,Education,17495.0
316,381,Entertainment,10803.0
317,124,Food,17044.0
318,10,Shopping,18735.0
319,228,Travel,21121.0
320,476,Food,28828.0
321,87,Insurance,35791.0
322,343,Emi,9572.0
323,489,Insurance,12370.0
324,305,Emi,13566.0
325,353,Education,11209.0
326,472,Healthcare,23620.0
327,107,Shopping,24888.0
328,128,Entertainment,16597.0
329,1,Shopping,5755.0
330,77,Food,34220.0
331,174,Education,8867.0
332,173,Insurance,17375.0
333,414,Entertainment,35725.0
334,3,Shopping,48092.0
335,477,Rent,17251.0
336,129,Utilities,44093.0
337,234,Insurance,47485.0
338,440,Healthcare,45480.0
339,382,Shopping,6350.0
340,390,Education,44477.0
341,29,Education,31501.0
342,329,Emi,18176.0
343,173,Healthcare,23760.0
344,264,Utilities,35353.0
345,107,Travel,33165.0
346,469,Insurance,49027.0
347,160,Education,14804.0
348,222,Utilities,39995.0
349,313,Emi,31375.0
350,69,Utilities,22037.0
351,224,Travel,47000.0
352,265,Healthcare,42623.0
353,411,Food,46288.0
354,18,Entertainment,25881.0
355,116,Travel,7517.0
356,379,Travel,28375.0
357,173,Entertainment,47267.0
358,200,Education,8007.0
359,150,Entertainment,34059.0
360,17,Healthcare,9919.0
361,495,Travel,34234.0
362,221,Rent,42747.0
363,437,Rent,38140.0
364,63,Utilities,34607.0
365,16,Utilities,46293.0
366,360,Insurance,13691.0
367,68,Insurance,5681.0
368,370,Travel,49666.0
369,269,Entertainment,44334.0
370,112,Education,26473.0
371,180,Entertainment,19320.0
372,458,Education,31097.0
373,85,Shopping,49078.0
374,130,Insurance,32348.0
375,177,Education,45225.0
376,330,Healthcare,46979.0
377,251,Rent,18966.0
378,131,Food,21053.0
379,14,Insurance,21102.0
380,425,Food,33580.0
381,366,Rent,15828.0
382,413,Food,36454.0
383,332,Healthcare,39200.0
384,463,Food,11658.0
385,442,Travel,38269.0
386,171,Healthcare,6774.0
387,375,Utilities,39745.0
388,430,Entertainment,49917.0
389,356,Emi,43704.0
390,281,Utilities,48916.0
391,399,Food,36081.0
392,56,Utilities,21120.0
393,12,Utilities,9255.0
394,81,Food,30322.0
395,472,Emi,41956.0
396,336,Utilities,25744.0
397,362,Education,24372.0
398,198,Shopping,7990.0
399,458,Food,6360.0
400,313,Food,39674.0
401,25,Insurance,12156.0
402,41,Travel,49742.0
403,191,Travel,13037.0
404,306,Entertainment,10443.0
405,216,Utilities,46896.0
406,347,Rent,17230.0
407,138,Healthcare,10621.0
408,319,Healthcare,47525.0
409,184,Healthcare,31569.0
410,264,Insurance,40608.0
411,12,Shopping,20969.0
412,278,Insurance,7760.0
