investment_id,user_id,investment_type,amount,purchase_date,current_value
1,452,Gold,319592.0,2026-05-03,410940.69
2,324,Stocks,83808.0,2026-03-31,98722.18
3,3,Gold,337841.0,2025-08-21,281895.7
4,208,Fixed Deposits,188681.0,2025-02-12,228514.33
5,452,Cryptocurrency,259243.0,2026-05-11,386169.22
6,496,Mutual Funds,351507.0,2026-05-16,483281.64
7,172,Fixed Deposits,446376.0,2026-04-02,391657.24
8,291,Stocks,344737.0,2024-12-21,444869.13
9,73,Gold,23689.0,2025-03-02,31062.78
10,180,Fixed Deposits,220328.0,2025-11-29,259391.17
11,359,Mutual Funds,465178.0,2025-11-29,588251.58
12,177,Stocks,159323.0,2024-08-01,172817.33
13,377,Fixed Deposits,475000.0,2024-08-20,638733.33
14,468,Gold,306386.0,2025-09-01,374601.91
15,282,Fixed Deposits,32649.0,2025-03-03,44535.42
16,443,Fixed Deposits,424855.0,2026-03-12,449276.87
17,228,Fixed Deposits,32407.0,2024-12-20,42537.15
18,83,Fixed Deposits,182167.0,2024-11-15,277164.75
19,455,Gold,221012.0,2024-10-16,201350.47
20,177,Gold,34156.0,2025-02-13,27579.39
21,158,Fixed Deposits,491347.0,2025-09-04,663957.76
22,464,Cryptocurrency,170465.0,2024-09-06,156005.52
23,81,Cryptocurrency,458689.0,2025-12-23,700971.18
24,328,Fixed Deposits,434901.0,2025-09-09,466618.92
25,255,Mutual Funds,355467.0,2026-02-27,307082.13
26,393,Stocks,129333.0,2026-06-04,203818.42
27,451,Stocks,261379.0,2025-10-11,295920.05
28,397,Stocks,286278.0,2024-09-11,414263.0
29,207,Stocks,192853.0,2026-03-20,224731.37
30,132,Mutual Funds,365212.0,2026-07-12,564205.44
31,426,Fixed Deposits,435438.0,2025-09-06,427382.91
32,38,Cryptocurrency,375173.0,2026-06-04,321183.25
33,329,Cryptocurrency,292774.0,2025-07-27,244558.67
34,422,Fixed Deposits,146872.0,2024-10-13,131653.65
35,16,Gold,498590.0,2024-11-09,624045.63
36,267,Gold,387933.0,2025-12-11,505399.16
37,138,Fixed Deposits,157355.0,2025-05-25,233691.79
38,318,Fixed Deposits,414378.0,2025-04-10,405882.49
39,440,Fixed Deposits,176614.0,2026-04-18,180799.13
40,234,Stocks,85109.0,2025-11-05,136014.74
41,406,Cryptocurrency,125558.0,2025-02-05,150799.03
42,433,Fixed Deposits,232834.0,2026-06-28,274497.0
43,158,Cryptocurrency,146263.0,2025-09-26,227064.13
44,187,Gold,42194.0,2026-02-23,45547.2
45,279,Stocks,39820.0,2025-02-04,39245.34
46,171,Fixed Deposits,215987.0,2025-06-14,201207.16
47,277,Cryptocurrency,297306.0,2026-04-17,377620.52
48,233,Cryptocurrency,435688.0,2025-01-04,665974.13
49,150,Stocks,312565.0,2026-04-09,378347.74
50,204,Cryptocurrency,192217.0,2026-04-26,304835.42
51,162,Gold,431279.0,2026-06-22,622966.17
52,432,Cryptocurrency,445940.0,2025-02-27,624966.64
53,439,Cryptocurrency,10456.0,2025-11-08,10457.63
54,369,Gold,434265.0,2025-01-19,535078.97
55,379,Cryptocurrency,53849.0,2024-08-10,76107.0
56,185,Stocks,40382.0,2025-02-06,43906.73
57,340,Cryptocurrency,371290.0,2026-01-25,353346.31
58,15,Stocks,50829.0,2025-08-31,46417.98
59,139,Gold,498705.0,2025-10-26,737996.68
60,238,Fixed Deposits,191228.0,2024-11-23,289373.37
61,410,Mutual Funds,252283.0,2025-08-28,322539.83
62,305,Mutual Funds,233946.0,2026-06-27,191521.67
63,487,Fixed Deposits,440881.0,2025-07-01,382707.04
64,377,Stocks,229615.0,2024-08-22,339816.58
65,487,Stocks,84340.0,2026-03-16,133102.68
66,351,Gold,276906.0,2026-06-10,265366.76
67,78,Mutual Funds,263220.0,2025-08-10,348716.08
68,452,Mutual Funds,356187.0,2024-12-01,494229.43
69,358,Cryptocurrency,144204.0,2025-08-13,159102.28
70,30,Stocks,213540.0,2026-02-17,186825.96
71,170,Mutual Funds,169863.0,2025-08-10,246652.84
72,371,Mutual Funds,493523.0,2025-05-21,487331.19
73,329,Fixed Deposits,447575.0,2026-06-14,509262.13
74,151,Stocks,84702.0,2025-11-18,74586.79
75,348,Stocks,58187.0,2024-08-06,89935.1
