goal_id,user_id,goal_name,target_amount,current_amount,deadline
1,240,Vacation,813314.0,270251.0,2028-11-15
2,373,Car Purchase,71896.0,52134.0,2027-03-11
3,406,Emergency Fund,993359.0,323850.0,2028-07-03
4,422,Car Purchase,920308.0,134584.0,2026-11-24
5,241,Emergency Fund,259270.0,72840.0,2028-01-31
6,392,Vacation,118850.0,84150.0,2029-04-01
7,345,Car Purchase,507665.0,184993.0,2028-07-19
8,167,Vacation,984022.0,573094.0,2028-01-10
9,298,Emergency Fund,79491.0,64606.0,2027-03-18
10,38,Car Purchase,598619.0,400845.0,2027-06-17
11,364,Vacation,333738.0,43652.0,2029-02-02
12,152,House Down Payment,299309.0,241270.0,2027-06-18
13,320,House Down Payment,696155.0,650129.0,2028-03-21
14,397,Vacation,379919.0,68632.0,2029-03-26
15,63,House Down Payment,140381.0,72648.0,2026-10-29
16,66,Emergency Fund,359263.0,166968.0,2027-06-17
17,463,Car Purchase,725136.0,59137.0,2028-12-25
18,14,Emergency Fund,533884.0,343329.0,2027-05-22
19,462,House Down Payment,60451.0,12050.0,2028-02-09
20,438,Emergency Fund,159751.0,20268.0,2026-08-31
21,343,House Down Payment,108417.0,39432.0,2028-07-10
22,474,Vacation,357783.0,12183.0,2029-06-14
23,302,Vacation,947219.0,789798.0,2028-08-02
24,340,Vacation,806450.0,27056.0,2028-06-27
25,392,Car Purchase,409533.0,257657.0,2027-10-15
26,192,Vacation,157673.0,13985.0,2028-08-08
27,373,Vacation,356529.0,128715.0,2027-09-30
28,424,Vacation,885842.0,716283.0,2029-06-01
29,247,House Down Payment,592142.0,285825.0,2028-09-16
30,385,Emergency Fund,294128.0,263685.0,2028-10-24
31,54,Vacation,584035.0,106093.0,2028-03-16
32,489,Emergency Fund,960036.0,464257.0,2029-04-29
33,288,House Down Payment,286898.0,102761.0,2026-07-25
34,131,Car Purchase,115833.0,67881.0,2029-07-02
35,122,Vacation,166576.0,102753.0,2026-11-07
36,238,Emergency Fund,907157.0,651003.0,2027-03-31
37,299,House Down Payment,636809.0,404251.0,2028-10-11
38,496,Car Purchase,762172.0,540219.0,2027-10-14
39,97,House Down Payment,771861.0,213037.0,2027-01-09
40,152,Emergency Fund,986124.0,505281.0,2026-09-05
41,337,House Down Payment,913909.0,62442.0,2026-11-04
42,385,Car Purchase,486876.0,426961.0,2027-05-06
43,41,Car Purchase,76974.0,27597.0,2029-02-07
44,219,Vacation,545659.0,28869.0,2026-11-21
45,46,Car Purchase,567942.0,317324.0,2028-12-07
46,394,House Down Payment,499024.0,331314.0,2029-01-08
47,263,Car Purchase,682507.0,658243.0,2028-09-08
48,261,Emergency Fund,508628.0,46574.0,2027-06-04
49,83,Vacation,567077.0,16628.0,2027-10-28
50,409,Car Purchase,473662.0,317135.0,2027-03-01
51,368,Vacation,369950.0,101726.0,2027-04-14
52,184,Vacation,635414.0,266027.0,2027-06-17
53,161,Emergency Fund,187042.0,63796.0,2029-05-04
54,300,Vacation,795079.0,330844.0,2027-09-18
55,365,Vacation,764128.0,118286.0,2028-07-28
56,178,Car Purchase,898985.0,330393.0,2026-09-14
57,164,Vacation,616520.0,144576.0,2028-12-03
58,195,Vacation,143791.0,98288.0,2028-05-28
59,466,Car Purchase,708248.0,530041.0,2028-03-19
60,306,Car Purchase,805208.0,533995.0,2028-04-04
61,91,House Down Payment,716304.0,375073.0,2026-09-19
62,256,Car Purchase,844566.0,401552.0,2029-04-20
63,84,Vacation,114025.0,83074.0,2028-05-22
64,208,Vacation,931844.0,680856.0,2026-12-10
65,426,House Down Payment,225481.0,38233.0,2027-05-02
66,23,Car Purchase,513443.0,444503.0,2028-08-31
67,315,House Down Payment,142165.0,33692.0,2027-11-04
68,222,Emergency Fund,130556.0,115534.0,2029-07-03
69,446,Car Purchase,705176.0,700466.0,2028-07-18
70,244,Emergency Fund,333603.0,73650.0,2027-01-23
71,328,House Down Payment,784576.0,260114.0,2026-07-29
72,493,Vacation,610398.0,568220.0,2026-09-25
73,356,Emergency Fund,149877.0,96756.0,2026-10-27
74,382,House Down Payment,908576.0,784039.0,2029-04-04
75,299,Car Purchase,835406.0,179546.0,2028-04-04
76,333,Emergency Fund,100837.0,30298.0,2028-10-14
77,179,Car Purchase,732949.0,636838.0,2027-09-28
78,399,Emergency Fund,633242.0,53494.0,2028-01-21
79,186,House Down Payment,763851.0,300397.0,2028-08-31
80,129,Emergency Fund,457346.0,415047.0,2027-02-17
81,487,House Down Payment,933182.0,176028.0,2029-06-11
82,348,House Down Payment,432804.0,24278.0,2026-11-13
83,380,Car Purchase,627396.0,489640.0,2028-02-16
84,266,House Down Payment,917506.0,182708.0,2027-01-04
85,332,Car Purchase,224670.0,39406.0,2029-02-28
86,429,Emergency Fund,405162.0,332354.0,2026-10-28
87,334,Vacation,396283.0,80348.0,2027-02-16
88,394,Car Purchase,98052.0,11833.0,2028-01-21
89,109,House Down Payment,398238.0,49638.0,2027-01-01
90,204,House Down Payment,602358.0,442225.0,2029-02-11
91,419,Emergency Fund,557571.0,346404.0,2028-01-23
92,347,House Down Payment,244123.0,146671.0,2026-11-28
93,234,House Down Payment,909323.0,744739.0,2029-06-28
94,447,Vacation,916799.0,46576.0,2029-03-25
95,396,Car Purchase,226971.0,106896.0,2027-09-02
96,31,Car Purchase,741325.0,193509.0,2027-09-07
97,369,Car Purchase,485505.0,256764.0,2026-12-13
98,92,House Down Payment,619757.0,552819.0,2026-09-03
99,233,Vacation,530735.0,17924.0,2027-08-03
100,453,Car Purchase,584154.0,433594.0,2028-09-04
101,180,House Down Payment,99162.0,40091.0,2027-09-07
102,180,House Down Payment,678793.0,94518.0,2026-08-23
103,423,Vacation,735050.0,519325.0,2028-02-12
104,5,Emergency Fund,229782.0,122368.0,2029-07-04
105,189,Car Purchase,803250.0,347067.0,2027-08-19
106,125,Car Purchase,608219.0,332309.0,2026-09-11
107,184,Car Purchase,849872.0,815072.0,2027-02-25
108,395,Emergency Fund,640195.0,261864.0,2027-03-01
109,40,Emergency Fund,575857.0,456943.0,2027-02-05
110,378,Car Purchase,637411.0,278234.0,2029-03-17
111,121,Car Purchase,318312.0,254987.0,2027-11-04
112,45,House Down Payment,390241.0,330309.0,2026-11-06
113,403,House Down Payment,706481.0,635271.0,2026-07-28
114,135,Vacation,568531.0,401260.0,2027-03-30
115,190,House Down Payment,622919.0,224350.0,2028-08-19
116,50,House Down Payment,582275.0,231040.0,2027-11-07
117,277,Vacation,630040.0,318213.0,2028-09-11
118,74,House Down Payment,753329.0,334252.0,2026-08-02
119,482,House Down Payment,773033.0,62875.0,2028-04-20
120,233,Vacation,653773.0,511607.0,2028-11-15
121,28,House Down Payment,665077.0,574576.0,2029-03-04
122,489,Vacation,424763.0,29262.0,2027-06-21
123,18,Emergency Fund,776852.0,111543.0,2028-04-27
124,3,Car Purchase,634003.0,550676.0,2028-02-08
125,103,Car Purchase,131112.0,62112.0,2027-02-26
126,18,Vacation,920183.0,37289.0,2027-10-09
127,79,Vacation,475821.0,296532.0,2028-04-23
128,41,House Down Payment,56240.0,51293.0,2029-01-16
129,267,Car Purchase,808616.0,376336.0,2027-03-27
130,413,Car Purchase,722684.0,233539.0,2027-09-27
131,345,Car Purchase,129991.0,123853.0,2026-09-18
132,257,House Down Payment,553483.0,273585.0,2029-06-07
133,93,Emergency Fund,727638.0,132355.0,2026-07-25
134,346,Car Purchase,222029.0,12230.0,2026-10-30
135,381,House Down Payment,886986.0,284747.0,2026-08-09
136,6,Vacation,748542.0,200765.0,2026-10-05
137,298,Car Purchase,151078.0,145082.0,2029-04-09
138,231,Emergency Fund,305557.0,226622.0,2026-10-15
139,70,Vacation,473960.0,444105.0,2027-12-27
140,424,Emergency Fund,485254.0,345469.0,2028-07-04
141,35,Vacation,550894.0,217729.0,2028-12-30
142,460,Vacation,162103.0,120570.0,2027-10-14
143,38,Emergency Fund,273795.0,141245.0,2027-10-10
144,411,Vacation,884914.0,188849.0,2029-01-06
145,6,Vacation,762924.0,91639.0,2027-09-29
146,424,Car Purchase,654897.0,486166.0,2027-12-06
147,71,House Down Payment,106866.0,37568.0,2026-09-30
148,463,Emergency Fund,79684.0,60067.0,2028-09-01
149,331,House Down Payment,961952.0,168610.0,2026-08-22
150,303,Car Purchase,413179.0,334711.0,2029-06-16
