transaction_id,account_id,transaction_date,amount,category,type,payment_mode,description
1,741,2025-12-01,14279.0,Insurance,Expense,Cash,Corporis error ipsa fuga.
2,407,2024-10-27,11148.0,Travel,Expense,Debit Card,Ratione officiis neque amet.
3,702,2024-12-09,11340.0,Emi,Expense,Upi,Nostrum veniam eum.
4,36,2025-07-15,166806.0,Business,Income,Debit Card,Consequatur adipisci.
5,349,2026-06-05,5340.0,Travel,Expense,Debit Card,Nesciunt tenetur perspiciatis.
6,637,2025-04-12,2346.0,Shopping,Expense,Debit Card,Provident eveniet optio sint dolore.
7,152,2026-06-07,76165.0,Investment Returns,Income,Cash,Aspernatur iure.
8,446,2025-01-13,1311.0,Emi,Expense,Upi,Quidem rerum voluptatum.
9,568,2026-04-10,7815.0,Entertainment,Expense,Net Banking,Ipsa tempora soluta neque.
10,687,2025-09-19,166095.0,Freelance,Income,Net Banking,Dolor porro sed libero repudiandae.
11,144,2026-01-08,13529.0,Utilities,Expense,Upi,Eligendi quibusdam fugit.
12,785,2026-07-02,109438.0,Salary,Income,Debit Card,Sapiente minus nobis perferendis.
13,309,2026-03-01,7859.0,Rent,Expense,Cash,Officiis praesentium commodi.
14,477,2025-01-29,10850.0,Healthcare,Expense,Net Banking,Eveniet quisquam aperiam.
15,365,2024-07-29,6208.0,Travel,Expense,Debit Card,Distinctio voluptatem veniam tempora.
16,402,2025-11-11,2662.0,Shopping,Expense,Upi,Quis rerum numquam vero.
17,836,2025-08-24,21778.0,Healthcare,Expense,Debit Card,Nostrum odit iusto.
18,134,2025-11-10,21508.0,Insurance,Expense,Credit Card,In ab corrupti sequi at.
19,610,2026-02-07,15618.0,Insurance,Expense,Net Banking,Ipsam quibusdam cupiditate eligendi.
20,141,2026-07-16,7194.0,Utilities,Expense,Credit Card,Voluptas iure doloremque.
21,423,2025-02-28,6229.0,Education,Expense,Credit Card,Consectetur aspernatur alias.
22,464,2025-07-21,2084.0,Entertainment,Expense,Credit Card,Quaerat molestias aperiam reprehenderit quia.
23,483,2025-08-26,23412.0,Emi,Expense,Cash,Magnam cum.
24,707,2026-02-18,3694.0,Entertainment,Expense,Net Banking,Explicabo quam quos at dolores.
25,811,2024-08-27,1350.0,Education,Expense,Cash,Perspiciatis perspiciatis esse.
26,324,2025-05-09,18917.0,Healthcare,Expense,Net Banking,Fugiat ipsum ipsum doloremque.
27,813,2024-08-28,8667.0,Shopping,Expense,Credit Card,A eveniet.
28,709,2024-09-29,11685.0,Rent,Expense,Upi,Voluptatem sunt ea debitis sint.
29,702,2025-05-02,13030.0,Food,Expense,Cash,Itaque perferendis minus praesentium.
30,952,2025-12-22,85883.0,Freelance,Income,Upi,Veniam ad.
31,608,2026-02-08,15195.0,Utilities,Expense,Upi,Neque aut soluta.
32,506,2025-10-13,22658.0,Emi,Expense,Cash,Nam atque quas.
33,819,2024-12-21,149192.0,Investment Returns,Income,Cash,Corporis veritatis dolore.
34,378,2026-05-17,20787.0,Utilities,Expense,Net Banking,Cupiditate officiis occaecati.
35,767,2026-04-25,169565.0,Rental Income,Income,Net Banking,Distinctio nulla molestias consectetur.
