account_id,user_id,bank_name,account_type,opening_balance,current_balance
1,1,ICICI,Savings,44163,60209
2,1,ICICI,Current,17300,24173
3,2,ICICI,Savings,61562,44870
4,3,ICICI,Savings,40353,34140
5,3,Kotak Mahindra,Savings,85307,127799
6,4,Canara Bank,Current,5191,2164
7,4,Axis Bank,Savings,30182,11741
8,4,HDFC,Savings,48514,31505
9,5,Axis Bank,Savings,25191,45425
10,6,HDFC,Savings,58431,87436
11,7,Kotak Mahindra,Savings,17563,43000
12,8,ICICI,Savings,70883,113626
13,9,Axis Bank,Current,26710,73550
14,10,Canara Bank,Current,69825,78210
15,11,SBI,Savings,23777,8135
16,11,Kotak Mahindra,Current,60999,89936
17,11,SBI,Savings,61628,51932
18,12,SBI,Current,66039,111834
19,12,Punjab National Bank,Current,71488,77032
20,13,Axis Bank,Savings,53761,46411
21,13,Axis Bank,Current,79574,118691
22,14,HDFC,Current,5295,40316
23,14,HDFC,Savings,66834,82146
24,15,Axis Bank,Current,67357,100284
25,16,SBI,Savings,42345,26008
26,17,Kotak Mahindra,Current,58287,45180
27,17,Punjab National Bank,Current,25417,7285
28,18,Punjab National Bank,Savings,73674,54865
29,18,Axis Bank,Savings,19696,31420
30,19,HDFC,Current,50862,55724
31,19,Kotak Mahindra,Current,42905,48361
32,20,ICICI,Current,63347,62280
33,20,Punjab National Bank,Savings,45061,67078
34,21,Punjab National Bank,Current,49540,83677
35,22,Axis Bank,Savings,79415,108719
36,22,HDFC,Current,33887,22810
37,23,Punjab National Bank,Savings,16991,15700
38,23,Canara Bank,Current,58940,40001
39,24,SBI,Current,74401,114374
40,24,Kotak Mahindra,Savings,99384,80187
41,25,SBI,Savings,63524,70702
42,25,Punjab National Bank,Savings,94066,121962
43,25,SBI,Current,42469,70279
44,26,Kotak Mahindra,Savings,68951,86065
45,27,Axis Bank,Savings,12095,6992
46,27,Canara Bank,Savings,76730,82461
47,27,Kotak Mahindra,Savings,55357,89516
48,28,Kotak Mahindra,Savings,32368,59362
49,29,Kotak Mahindra,Savings,41044,21393
50,29,HDFC,Current,61738,64360
51,29,Punjab National Bank,Current,6406,0
52,30,Axis Bank,Current,46946,92102
53,31,Axis Bank,Savings,45199,84957
54,31,Punjab National Bank,Savings,31122,79030
55,32,Punjab National Bank,Savings,82294,76651
56,32,ICICI,Savings,81931,126380
57,32,HDFC,Savings,75958,75373
58,33,Canara Bank,Savings,66768,49822
59,34,ICICI,Current,87625,104021
60,34,Axis Bank,Current,95837,84563
61,35,HDFC,Current,57987,61313
62,35,HDFC,Savings,45497,65571
63,35,Punjab National Bank,Current,54639,81067
64,36,SBI,Savings,99359,144975
65,36,Axis Bank,Savings,49998,40053
66,37,Punjab National Bank,Current,14774,14831
67,37,ICICI,Savings,81726,62032
68,37,Kotak Mahindra,Current,98305,93449
69,38,ICICI,Current,92833,129332
70,38,Kotak Mahindra,Savings,8719,12387
71,38,Kotak Mahindra,Current,50485,58025
72,39,SBI,Savings,80218,90936
73,39,Axis Bank,Savings,85607,71310
74,40,SBI,Savings,12007,22129
75,41,Kotak Mahindra,Savings,18880,25663
76,41,Canara Bank,Current,13223,15940
77,41,HDFC,Savings,58101,70514
78,42,Axis Bank,Savings,81680,87704
79,42,HDFC,Savings,99462,94443
80,43,Punjab National Bank,Savings,12364,44423
81,43,ICICI,Current,49881,42520
82,43,Axis Bank,Savings,56677,71552
83,44,ICICI,Savings,47462,33518
84,44,Canara Bank,Current,70406,51164
85,45,Axis Bank,Savings,75179,96002
86,46,SBI,Current,6149,5697
87,46,ICICI,Savings,66681,48438
88,46,ICICI,Current,70272,71528
89,47,Kotak Mahindra,Savings,44260,36743
90,48,Kotak Mahindra,Current,53787,70654
91,49,HDFC,Current,84148,81217
92,49,Canara Bank,Current,62130,66984
93,50,Punjab National Bank,Savings,74978,119537
94,50,Kotak Mahindra,Savings,62621,64400
95,50,SBI,Savings,97279,122728
96,51,Kotak Mahindra,Savings,6971,0
97,51,ICICI,Savings,92447,109562
98,52,Axis Bank,Current,13872,62086
99,53,HDFC,Savings,26605,54105
100,53,Axis Bank,Savings,12478,10461
101,54,HDFC,Savings,88069,103381
102,55,Punjab National Bank,Current,75995,68069
103,55,Canara Bank,Savings,70933,109165
104,55,Axis Bank,Current,13317,42493
105,56,Axis Bank,Current,15547,16898
106,57,Canara Bank,Savings,72593,79957
107,57,Axis Bank,Current,27037,52027
108,57,SBI,Current,46928,64516
109,58,Punjab National Bank,Current,8093,17203
110,59,Kotak Mahindra,Current,53657,53878
111,60,Punjab National Bank,Current,90160,124586
112,60,ICICI,Savings,39120,67404
113,60,Canara Bank,Savings,73315,80739
114,61,SBI,Current,22547,15301
115,62,Punjab National Bank,Current,25951,69348
116,62,HDFC,Savings,51568,51087
117,62,Punjab National Bank,Savings,93368,84729
118,63,ICICI,Current,33173,83093
119,64,Kotak Mahindra,Current,65169,67386
120,64,SBI,Savings,23948,49807
121,64,Kotak Mahindra,Current,79117,75713
122,65,Punjab National Bank,Current,18184,56453
123,66,SBI,Current,78055,110147
124,67,Punjab National Bank,Current,30527,79848
125,67,HDFC,Current,94045,143996
126,68,Axis Bank,Savings,77560,81856
127,68,Canara Bank,Savings,89340,129805
128,68,Axis Bank,Current,57823,59529
129,69,HDFC,Savings,14654,8052
130,69,Canara Bank,Savings,96321,96459
131,69,Punjab National Bank,Savings,58058,106791
132,70,Punjab National Bank,Savings,99987,101461
133,70,Canara Bank,Savings,22598,36084
134,71,Canara Bank,Current,98178,93110
135,71,Kotak Mahindra,Savings,38663,66952
136,71,Axis Bank,Current,28048,57840
137,72,ICICI,Savings,80410,129943
138,72,SBI,Current,56658,60254
139,73,Punjab National Bank,Savings,64292,71614
140,74,Canara Bank,Current,11920,33807
141,74,Axis Bank,Savings,6504,18743
142,75,Punjab National Bank,Savings,56719,39980
143,75,SBI,Savings,30964,23364
144,76,Punjab National Bank,Current,13472,10745
145,76,Kotak Mahindra,Savings,37983,57340
146,76,HDFC,Savings,6464,7280
147,77,Canara Bank,Savings,33560,64397
148,78,SBI,Savings,80855,103680
149,78,HDFC,Current,85741,134133
150,78,SBI,Savings,97049,136524
151,79,ICICI,Current,20952,59103
152,79,SBI,Savings,58087,67593
153,79,SBI,Savings,33235,82556
154,80,HDFC,Current,48878,34081
155,80,Punjab National Bank,Current,90430,106308
156,80,ICICI,Current,76465,63444
157,81,Punjab National Bank,Savings,66686,81001
158,81,Punjab National Bank,Current,9408,34400
159,82,HDFC,Savings,29801,45534
160,83,SBI,Current,37616,46404
161,83,SBI,Savings,7876,36965
162,83,Punjab National Bank,Savings,76112,92791
163,84,SBI,Current,13519,51591
164,85,Axis Bank,Savings,20224,25719
165,85,Punjab National Bank,Savings,79549,99512
166,86,Kotak Mahindra,Current,71052,118065
167,86,Punjab National Bank,Savings,18465,59007
168,86,SBI,Current,62383,95263
169,87,SBI,Savings,50135,70883
170,87,Kotak Mahindra,Current,87286,85778
171,88,ICICI,Savings,62197,45395
172,89,Axis Bank,Savings,99451,100460
173,89,Punjab National Bank,Savings,70557,91294
174,90,Canara Bank,Current,77671,70245
175,91,Punjab National Bank,Current,20578,66631
176,92,ICICI,Savings,27073,45294
177,92,HDFC,Current,26780,9307
178,93,SBI,Current,5661,40809
179,93,Kotak Mahindra,Current,38914,51215
180,94,Canara Bank,Current,93796,103737
181,94,HDFC,Savings,51908,32540
182,95,Canara Bank,Savings,78086,61917
183,96,Kotak Mahindra,Savings,43162,65148
184,97,Canara Bank,Current,70616,114267
185,97,SBI,Savings,90534,116205
186,98,SBI,Current,54232,51095
187,98,Axis Bank,Current,38936,86461
188,99,HDFC,Current,33183,15143
189,99,HDFC,Current,95536,87827
190,100,Canara Bank,Current,71888,67842
191,101,Punjab National Bank,Current,92569,91498
192,101,Punjab National Bank,Current,36603,35901
193,101,Axis Bank,Current,45617,75309
194,102,Canara Bank,Current,69341,78434
195,102,Punjab National Bank,Savings,74140,117379
196,102,SBI,Savings,51561,38883
197,103,Axis Bank,Current,67453,65331
198,103,Kotak Mahindra,Savings,77575,86756
199,104,Kotak Mahindra,Current,54637,83991
200,105,HDFC,Savings,81994,115981
201,105,Axis Bank,Current,42012,82408
202,105,Punjab National Bank,Savings,10311,17776
203,106,Kotak Mahindra,Current,81094,86847
204,106,Axis Bank,Current,65302,100560
205,106,ICICI,Current,62074,102467
206,107,SBI,Savings,15320,2670
207,108,Punjab National Bank,Savings,23676,51153
208,109,Punjab National Bank,Current,41361,26852
209,109,Axis Bank,Savings,53841,83345
210,110,Punjab National Bank,Savings,55397,37954
211,111,HDFC,Current,9979,34538
212,111,Punjab National Bank,Savings,6326,31505
213,112,Punjab National Bank,Current,27373,60754
214,112,Kotak Mahindra,Savings,13355,21478
215,113,SBI,Current,74592,58784
216,113,Axis Bank,Savings,18809,53601
217,114,Canara Bank,Savings,64390,78123
218,114,ICICI,Current,9025,20672
219,115,Axis Bank,Current,46470,51056
220,115,Canara Bank,Savings,62683,109246
221,116,ICICI,Current,97046,84405
222,116,Axis Bank,Savings,61265,75333
223,117,Axis Bank,Current,33356,42961
224,117,ICICI,Savings,9535,25860
225,118,ICICI,Current,49014,89659
226,119,SBI,Current,46513,41240
227,119,Kotak Mahindra,Current,73216,92654
228,120,SBI,Savings,97593,78876
229,121,Kotak Mahindra,Current,92814,75108
230,121,SBI,Savings,54932,41548
231,122,SBI,Savings,31786,37447
232,122,Canara Bank,Savings,53824,36607
233,123,SBI,Current,74582,106564
234,123,Canara Bank,Savings,40082,42648
235,123,HDFC,Current,35802,20794
236,124,Axis Bank,Savings,26027,6819
237,125,SBI,Savings,27080,14165
238,126,Axis Bank,Savings,27097,51692
239,127,Kotak Mahindra,Savings,61818,97008
240,127,HDFC,Savings,55674,79554
241,127,Kotak Mahindra,Savings,20654,36103
242,128,Canara Bank,Savings,69520,67712
243,128,Canara Bank,Current,49188,84016
244,129,ICICI,Savings,42097,81801
245,129,Punjab National Bank,Savings,34582,37295
246,130,Kotak Mahindra,Savings,9511,44849
247,130,ICICI,Savings,84548,80246
248,131,Punjab National Bank,Savings,83020,92594
249,131,Canara Bank,Current,52047,81152
