budget_id,user_id,category,monthly_limit
1,307,EMI,33736
2,102,Travel,23276
3,472,Food,6883
4,83,Food,9200
5,326,Utilities,13504
6,265,Entertainment,15779
7,237,Travel,17698
8,97,Healthcare,37821
9,99,Insurance,30811
10,203,Education,29514
11,428,Food,15361
12,445,Insurance,31224
13,490,Education,15992
14,194,Insurance,36294
15,233,Healthcare,37527
16,408,Travel,6604
17,427,Entertainment,21150
18,34,Entertainment,31693
19,2,EMI,28154
20,321,Healthcare,48235
21,5,Shopping,42900
22,99,EMI,19783
23,83,Education,10188
24,192,Insurance,41226
25,329,Rent,38118
26,450,Education,44472
27,328,Utilities,48540
28,187,Education,41181
29,407,Insurance,26967
30,473,Insurance,40296
31,40,Shopping,35685
32,52,Shopping,34965
33,202,Travel,18655
34,267,Healthcare,36063
35,210,Utilities,24867
36,174,Education,8686
37,337,Shopping,28607
38,382,Insurance,48570
39,148,Travel,7306
40,322,Utilities,23846
41,156,Shopping,46277
42,267,Insurance,42837
43,426,Shopping,26213
44,193,Shopping,38647
45,224,Shopping,22369
46,225,EMI,48069
47,177,Travel,35413
48,303,Healthcare,42509
49,95,Shopping,17867
50,461,Travel,17504
51,338,Insurance,29335
52,170,Travel,24832
53,36,Entertainment,9180
54,94,Healthcare,43036
55,497,Travel,40952
56,45,EMI,21300
57,302,Utilities,24662
58,288,Entertainment,16234
59,450,Healthcare,33417
60,347,Insurance,23286
61,11,Utilities,5136
62,426,Rent,26985
63,214,Entertainment,9381
64,86,Education,45561
65,115,Shopping,33264
66,54,Shopping,24584
67,499,Shopping,37183
68,39,Healthcare,28319
69,285,Rent,40430
70,437,Entertainment,43172
71,24,Insurance,28350
72,95,Shopping,20294
73,426,Education,19657
74,235,Travel,40888
75,47,Utilities,16136
76,405,Insurance,13665
77,365,Education,13643
78,351,Rent,15209
79,415,Education,37108
80,31,Food,36767
81,384,Rent,17013
82,444,Rent,19485
83,54,EMI,19884
84,455,Shopping,6610
85,478,Insurance,37908
86,402,EMI,43693
87,40,Travel,34316
88,263,Food,26291
89,53,Rent,18817
90,466,Entertainment,10906
91,480,EMI,17372
92,43,Utilities,24383
93,72,EMI,38367
94,17,Entertainment,49366
95,128,Insurance,17803
96,475,Insurance,6237
97,31,Travel,48979
98,32,Healthcare,15018
99,4,Shopping,6542
100,12,Entertainment,33935
101,398,Education,32663
102,241,Utilities,28750
103,270,Utilities,22202
104,162,Travel,31467
105,292,Healthcare,31789
106,148,Healthcare,49660
107,334,Rent,17187
108,164,Shopping,16781
109,492,Education,16195
110,403,Healthcare,18536
111,180,Insurance,8675
112,350,Travel,29125
113,470,EMI,20646
114,194,Insurance,9823
115,285,Shopping,19207
116,113,EMI,12902
117,42,Healthcare,11347
118,179,Insurance,31197
119,421,EMI,27992
120,66,Entertainment,18321
121,9,Utilities,5072
122,165,Insurance,14457
123,225,Healthcare,44307
124,32,Rent,20660
125,84,Travel,11089
126,345,Education,14298
127,47,Entertainment,16298
128,203,Food,24773
129,477,Healthcare,23105
130,470,Food,41549
131,18,Rent,44457
132,490,Insurance,48389
133,295,Healthcare,12473
134,476,EMI,39958
135,131,Insurance,43866
136,235,Education,29338
137,85,Insurance,30027
138,30,Insurance,36087
139,267,Travel,5145
140,364,Shopping,33665
141,9,Education,17939
142,86,Food,8562
143,415,Insurance,25925
144,132,Healthcare,23322
145,199,Healthcare,12875
146,370,Entertainment,35403
147,393,Insurance,36572
148,337,Rent,16767
149,301,EMI,40528
150,472,Healthcare,19092
151,404,Shopping,37039
152,416,Food,8750
153,165,Food,32095
154,20,Healthcare,47173
155,221,Entertainment,29606
156,367,Education,44828
157,214,Insurance,8917
158,16,Healthcare,39220
159,301,Rent,47717
160,450,Rent,37912
161,13,Education,39558
162,359,Education,15630
163,271,Entertainment,16532
164,320,Rent,25147
165,290,Education,31274
166,399,Food,7160
167,253,Food,30206
168,186,Shopping,21632
169,48,Shopping,35164
170,395,Education,5313
171,412,Entertainment,33603
172,302,Travel,17055
173,373,Travel,7303
174,215,Rent,25996
175,493,Shopping,44959
176,104,Shopping,5838
177,310,Travel,9840
178,254,Rent,36780
179,112,Rent,13975
180,262,Healthcare,12311
181,92,EMI,37631
182,209,Shopping,45875
183,404,Healthcare,34160
184,89,Rent,49081
185,305,Rent,31060
186,406,Food,30125
187,346,Food,43891
188,4,Shopping,40041
189,281,Food,23925
190,52,Insurance,35784
191,468,Travel,40117
192,368,Entertainment,34892
193,455,Food,23095
194,140,Rent,12628
195,485,Shopping,12027
196,53,Education,5642
197,108,Insurance,7798
198,187,Education,16786
199,186,Education,48990
200,422,EMI,16247
201,36,Rent,16517
202,168,Food,17475
203,12,Entertainment,49415
204,14,Education,26357
205,337,EMI,18659
206,158,Food,39080
207,200,EMI,23484
208,208,Insurance,9910
209,50,Utilities,25887
210,207,Utilities,6350
211,278,EMI,39236
212,170,Insurance,42282
213,323,Insurance,18068
214,104,Rent,37607
215,181,Education,25753
216,366,Food,7993
217,77,Rent,17033
218,186,EMI,44735
219,122,EMI,38856
220,370,Education,37799
221,464,Food,38893
222,347,Utilities,27344
223,346,Food,10059
224,383,Rent,15609
225,403,Rent,48680
226,310,Shopping,5768
227,492,Education,30487
228,424,Rent,21945
229,126,Rent,48490
230,54,Travel,28910
231,278,Shopping,24089
232,36,Utilities,28951
233,480,Shopping,7741
234,389,Insurance,42315
235,163,Education,11358
236,106,Healthcare,48303
237,304,EMI,43279
238,247,Utilities,7916
239,184,Travel,34531
240,458,EMI,36368
241,456,Travel,36013
242,117,Entertainment,18363
243,413,Healthcare,19574
244,239,Healthcare,6824
245,234,Entertainment,43128
246,47,Rent,26545
247,61,Rent,5436
248,205,Travel,36752
249,363,EMI,19933
250,294,Utilities,17728
251,481,EMI,49041
252,425,Food,43329
253,196,Utilities,11636
254,254,Food,16196
255,149,Insurance,10895
256,471,Education,26375
257,149,Shopping,6959
258,299,Healthcare,33720
259,325,Travel,47467
260,493,EMI,42169
261,362,Utilities,26952
262,297,EMI,37966
263,228,Healthcare,14297
264,56,Food,43786
265,344,Rent,10378
266,13,EMI,9827
267,94,Education,36804
268,56,Food,30315
269,112,Education,34621
270,474,Healthcare,6570
271,391,Education,26024
272,33,Education,7629
273,372,Utilities,19728
274,211,Travel,18649
275,29,Shopping,37289
276,423,Entertainment,46856
