investment_id,user_id,investment_type,amount,purchase_date,current_value
1,452,Gold,319592,2026-05-03,410940.69
2,324,Stocks,83808,2026-03-31,98722.18
3,3,Gold,337841,2025-08-21,281895.7
4,208,Fixed Deposits,188681,2025-02-12,228514.33
5,452,Cryptocurrency,259243,2026-05-11,386169.22
6,496,Mutual Funds,351507,2026-05-16,483281.64
7,172,Fixed Deposits,446376,2026-04-02,391657.24
8,291,Stocks,344737,2024-12-21,444869.13
9,73,Gold,23689,2025-03-02,31062.78
10,180,Fixed Deposits,220328,2025-11-29,259391.17
11,359,Mutual Funds,465178,2025-11-29,588251.58
12,177,Stocks,159323,2024-08-01,172817.33
13,377,Fixed Deposits,475000,2024-08-20,638733.33
14,468,Gold,306386,2025-09-01,374601.91
15,282,Fixed Deposits,32649,2025-03-03,44535.42
16,443,Fixed Deposits,424855,2026-03-12,449276.87
17,228,Fixed Deposits,32407,2024-12-20,42537.15
18,83,Fixed Deposits,182167,2024-11-15,277164.75
19,455,Gold,221012,2024-10-16,201350.47
20,177,Gold,34156,2025-02-13,27579.39
21,158,Fixed Deposits,491347,2025-09-04,663957.76
22,464,Cryptocurrency,170465,2024-09-06,156005.52
23,81,Cryptocurrency,458689,2025-12-23,700971.18
24,328,Fixed Deposits,434901,2025-09-09,466618.92
25,255,Mutual Funds,355467,2026-02-27,307082.13
26,393,Stocks,129333,2026-06-04,203818.42
27,451,Stocks,261379,2025-10-11,295920.05
28,397,Stocks,286278,2024-09-11,414263.0
29,207,Stocks,192853,2026-03-20,224731.37
30,132,Mutual Funds,365212,2026-07-12,564205.44
31,426,Fixed Deposits,435438,2025-09-06,427382.91
32,38,Cryptocurrency,375173,2026-06-04,321183.25
33,329,Cryptocurrency,292774,2025-07-27,244558.67
34,422,Fixed Deposits,146872,2024-10-13,131653.65
35,16,Gold,498590,2024-11-09,624045.63
36,267,Gold,387933,2025-12-11,505399.16
37,138,Fixed Deposits,157355,2025-05-25,233691.79
38,318,Fixed Deposits,414378,2025-04-10,405882.49
39,440,Fixed Deposits,176614,2026-04-18,180799.13
40,234,Stocks,85109,2025-11-05,136014.74
41,406,Cryptocurrency,125558,2025-02-05,150799.03
42,433,Fixed Deposits,232834,2026-06-28,274497.0
43,158,Cryptocurrency,146263,2025-09-26,227064.13
44,187,Gold,42194,2026-02-23,45547.2
45,279,Stocks,39820,2025-02-04,39245.34
46,171,Fixed Deposits,215987,2025-06-14,201207.16
47,277,Cryptocurrency,297306,2026-04-17,377620.52
48,233,Cryptocurrency,435688,2025-01-04,665974.13
49,150,Stocks,312565,2026-04-09,378347.74
50,204,Cryptocurrency,192217,2026-04-26,304835.42
51,162,Gold,431279,2026-06-22,622966.17
52,432,Cryptocurrency,445940,2025-02-27,624966.64
53,439,Cryptocurrency,10456,2025-11-08,10457.63
54,369,Gold,434265,2025-01-19,535078.97
55,379,Cryptocurrency,53849,2024-08-10,76107.0
56,185,Stocks,40382,2025-02-06,43906.73
57,340,Cryptocurrency,371290,2026-01-25,353346.31
58,15,Stocks,50829,2025-08-31,46417.98
59,139,Gold,498705,2025-10-26,737996.68
60,238,Fixed Deposits,191228,2024-11-23,289373.37
61,410,Mutual Funds,252283,2025-08-28,322539.83
62,305,Mutual Funds,233946,2026-06-27,191521.67
63,487,Fixed Deposits,440881,2025-07-01,382707.04
64,377,Stocks,229615,2024-08-22,339816.58
65,487,Stocks,84340,2026-03-16,133102.68
66,351,Gold,276906,2026-06-10,265366.76
67,78,Mutual Funds,263220,2025-08-10,348716.08
68,452,Mutual Funds,356187,2024-12-01,494229.43
69,358,Cryptocurrency,144204,2025-08-13,159102.28
70,30,Stocks,213540,2026-02-17,186825.96
71,170,Mutual Funds,169863,2025-08-10,246652.84
72,371,Mutual Funds,493523,2025-05-21,487331.19
73,329,Fixed Deposits,447575,2026-06-14,509262.13
74,151,Stocks,84702,2025-11-18,74586.79
75,348,Stocks,58187,2024-08-06,89935.1
76,500,Fixed Deposits,437887,2026-04-08,506684.4
77,189,Fixed Deposits,404406,2025-12-26,545022.75
78,175,Gold,246597,2026-06-22,356075.29
79,167,Fixed Deposits,250683,2026-03-08,229596.02
80,379,Mutual Funds,143741,2025-11-04,181904.64
81,240,Gold,488370,2025-07-12,722483.1
82,222,Stocks,489194,2026-01-16,691129.4
83,30,Stocks,61428,2026-06-26,50093.75
84,233,Stocks,135266,2025-02-17,215029.03
85,149,Stocks,136169,2024-11-21,141214.36
86,320,Mutual Funds,33176,2026-05-17,28525.2
87,378,Stocks,82431,2025-06-03,68493.57
88,161,Fixed Deposits,479337,2024-11-11,621537.53
89,495,Gold,205585,2026-03-17,189139.7
90,381,Fixed Deposits,488595,2024-12-07,531751.03
91,383,Gold,313366,2025-07-30,396543.38
92,423,Fixed Deposits,53663,2025-05-05,61560.48
93,128,Cryptocurrency,80037,2026-06-12,121958.48
94,264,Fixed Deposits,120782,2026-04-22,159216.56
95,291,Gold,136567,2025-12-25,176536.28
96,58,Mutual Funds,386631,2026-03-17,459705.34
97,1,Gold,66248,2024-08-09,80899.13
98,214,Gold,278460,2026-02-19,266907.73
99,320,Cryptocurrency,351362,2026-05-04,546634.2
100,381,Stocks,105828,2026-06-28,114440.93
101,429,Cryptocurrency,32525,2025-02-27,48725.49
102,155,Cryptocurrency,276519,2025-06-13,288455.17
103,234,Cryptocurrency,228246,2025-06-05,362110.67
104,435,Stocks,236499,2026-06-10,376929.21
105,131,Fixed Deposits,414315,2024-08-21,477860.87
106,385,Stocks,66226,2024-08-31,90884.3
107,221,Gold,228540,2026-07-05,204985.88
108,423,Gold,306785,2024-09-29,354017.97
109,79,Fixed Deposits,439635,2026-03-18,472835.83
110,314,Mutual Funds,227326,2026-03-04,267305.78
111,144,Stocks,240978,2026-07-05,252223.48
112,404,Fixed Deposits,178819,2025-09-17,168077.95
113,499,Fixed Deposits,298628,2025-06-06,366167.15
114,342,Gold,111354,2025-08-09,127124.22
115,51,Gold,151346,2025-06-21,169701.64
116,100,Stocks,430949,2026-01-13,359224.39
117,1,Mutual Funds,178163,2026-05-25,235513.73
118,467,Mutual Funds,102105,2025-07-01,149159.42
119,480,Fixed Deposits,213793,2024-08-21,237141.21
120,80,Cryptocurrency,53314,2025-11-12,56192.63
121,235,Gold,176731,2025-08-22,194256.58
122,211,Gold,462971,2025-01-12,735633.81
123,180,Fixed Deposits,470565,2024-09-18,734195.48
124,295,Stocks,394762,2025-11-18,410068.94
125,28,Gold,177983,2024-09-08,190347.08
126,399,Cryptocurrency,103631,2025-04-27,149723.47
127,439,Fixed Deposits,340578,2024-09-05,542639.72
128,243,Mutual Funds,274483,2026-05-13,400233.68
129,313,Cryptocurrency,34777,2025-10-27,29926.28
130,235,Cryptocurrency,94227,2024-08-21,115342.42
131,37,Fixed Deposits,87113,2026-01-20,111199.35
132,158,Gold,437551,2026-05-09,435316.14
133,91,Mutual Funds,306490,2025-02-07,308259.63
134,11,Mutual Funds,40962,2025-11-13,50631.65
135,230,Cryptocurrency,72321,2024-07-31,86965.77
136,440,Cryptocurrency,124657,2025-02-14,188189.88
137,315,Stocks,392982,2025-07-15,616842.95
138,366,Gold,167974,2024-07-18,203619.71
139,259,Fixed Deposits,407547,2025-05-13,562497.86
140,282,Fixed Deposits,258757,2025-10-10,308399.27
141,416,Gold,441652,2026-02-10,406255.13
142,323,Stocks,392754,2025-11-18,594795.74
143,173,Gold,371156,2025-09-08,298898.69
144,95,Cryptocurrency,359678,2024-10-02,387389.75
145,274,Fixed Deposits,455453,2025-06-23,513793.48
146,332,Gold,206435,2024-12-18,305682.8
147,15,Mutual Funds,364841,2025-03-26,562490.84
148,371,Cryptocurrency,110172,2024-09-19,95107.31
149,248,Gold,479663,2025-10-20,750007.47
150,227,Mutual Funds,281639,2025-09-15,349547.02
151,131,Fixed Deposits,167786,2026-03-30,154450.54
152,344,Stocks,144527,2025-02-07,225435.27
153,35,Mutual Funds,118012,2025-02-05,168005.02
154,193,Stocks,198563,2024-11-01,316559.28
155,227,Gold,458977,2025-02-09,518297.19
156,297,Stocks,149344,2026-01-11,209137.59
157,98,Gold,341830,2025-01-14,274140.18
158,447,Fixed Deposits,449582,2025-08-13,405068.39
159,59,Mutual Funds,147095,2025-02-01,163839.59
160,226,Mutual Funds,384679,2025-12-29,594645.65
161,227,Gold,128984,2025-02-23,122500.07
162,87,Fixed Deposits,428794,2026-01-24,363974.97
163,224,Mutual Funds,188011,2025-09-22,239423.6
164,313,Gold,114535,2024-11-17,115250.28
165,382,Cryptocurrency,334776,2025-08-26,441677.2
166,359,Fixed Deposits,332677,2026-01-07,297749.02
167,137,Cryptocurrency,450709,2024-10-03,491879.18
168,389,Fixed Deposits,334440,2025-06-20,321275.4
169,240,Stocks,471652,2025-04-12,464405.81
170,281,Cryptocurrency,313494,2024-12-20,338392.5
171,326,Cryptocurrency,120835,2025-12-21,179327.98
172,63,Fixed Deposits,60762,2026-01-28,84097.54
173,207,Cryptocurrency,151606,2025-04-03,139138.21
174,488,Mutual Funds,302902,2025-09-18,451672.18
175,463,Cryptocurrency,159995,2026-01-10,243607.51
176,382,Stocks,109513,2025-06-01,134730.86
177,282,Stocks,48575,2025-07-07,60602.23
178,395,Cryptocurrency,213148,2025-11-09,216140.43
179,56,Stocks,234084,2026-02-07,229876.08
180,243,Gold,419140,2024-08-02,434280.38
181,489,Cryptocurrency,38317,2025-04-19,54395.91
182,143,Cryptocurrency,91786,2026-01-16,120901.95
183,54,Stocks,379327,2025-01-25,341042.61
184,156,Cryptocurrency,55719,2025-07-31,52170.6
185,489,Mutual Funds,159593,2025-08-27,145039.3
186,62,Mutual Funds,163609,2026-02-02,145321.73
187,255,Gold,156533,2025-11-12,214339.81
188,425,Mutual Funds,122422,2025-10-03,188327.12
189,111,Fixed Deposits,115393,2025-12-27,165888.23
190,288,Cryptocurrency,59077,2026-06-05,90742.71
191,363,Gold,419298,2026-06-08,526835.01
192,164,Stocks,311176,2024-12-16,397647.42
193,156,Gold,202912,2025-12-28,268300.2
194,269,Gold,283833,2026-01-25,304408.65
195,374,Gold,117707,2025-01-24,185989.08
196,96,Stocks,246232,2024-10-16,234733.48
197,193,Stocks,388660,2025-03-01,392615.07
198,185,Mutual Funds,284084,2025-09-14,417847.61
199,98,Cryptocurrency,319833,2026-05-18,327303.67
200,117,Fixed Deposits,458747,2024-12-27,726414.54
201,93,Stocks,30917,2025-11-24,29117.88
202,135,Mutual Funds,82554,2026-06-16,95818.88
203,191,Cryptocurrency,400385,2026-07-07,501470.65
204,156,Gold,459070,2025-12-14,633068.2
205,236,Cryptocurrency,308611,2026-03-06,400670.44
206,5,Stocks,76742,2025-01-18,122591.58
207,200,Mutual Funds,79024,2026-07-16,66816.66
208,46,Cryptocurrency,488268,2024-08-25,416294.54
209,202,Cryptocurrency,54450,2025-06-10,77139.93
210,191,Fixed Deposits,385732,2026-05-31,442649.09
211,356,Cryptocurrency,113348,2025-08-03,180052.41
212,304,Cryptocurrency,14435,2026-01-09,19271.09
213,17,Cryptocurrency,258384,2025-05-19,332135.14
214,255,Cryptocurrency,22338,2024-09-01,34602.98
215,95,Cryptocurrency,94748,2026-07-11,144273.53
216,41,Fixed Deposits,466564,2025-03-23,638117.38
217,425,Fixed Deposits,485243,2026-05-16,604071.66
218,250,Stocks,141076,2025-02-03,198640.82
219,464,Fixed Deposits,214692,2025-06-02,193359.49
220,490,Mutual Funds,263743,2025-12-22,403727.24
221,221,Mutual Funds,422166,2024-08-06,405981.61
222,13,Stocks,204031,2024-12-25,210390.08
223,307,Fixed Deposits,315298,2025-07-16,404751.83
224,95,Fixed Deposits,64330,2026-03-18,81871.06
225,244,Stocks,280487,2025-03-03,228994.83
226,171,Cryptocurrency,90205,2025-12-31,85907.66
227,319,Cryptocurrency,88240,2025-04-18,133214.5
228,118,Cryptocurrency,157418,2025-12-31,241308.3
229,136,Stocks,67613,2024-10-22,88927.68
230,474,Stocks,371046,2025-09-09,327047.26
231,251,Gold,422837,2025-11-30,458979.12
232,113,Cryptocurrency,343680,2025-11-02,362229.32
233,292,Fixed Deposits,132168,2025-05-05,161665.34
234,458,Fixed Deposits,450632,2025-12-01,630575.83
235,378,Stocks,184553,2025-05-26,214290.35
236,385,Gold,56627,2024-10-24,65114.11
237,35,Fixed Deposits,457107,2025-01-14,648466.44
238,52,Stocks,394431,2025-12-29,391067.92
239,320,Mutual Funds,77580,2025-12-19,101014.36
240,166,Cryptocurrency,423946,2024-11-09,603016.63
241,8,Cryptocurrency,260407,2026-03-22,267668.82
242,362,Cryptocurrency,412995,2026-07-13,403671.69
243,311,Cryptocurrency,82928,2025-12-17,66910.62
244,128,Cryptocurrency,16126,2024-07-23,22547.62
245,63,Fixed Deposits,439043,2025-07-04,527908.58
246,224,Fixed Deposits,366668,2025-12-25,475958.73
247,352,Mutual Funds,388006,2024-10-30,381954.9
248,399,Fixed Deposits,242959,2025-11-30,341176.4
249,72,Stocks,347849,2025-07-17,501657.78
250,243,Fixed Deposits,330258,2025-08-23,495611.11
251,432,Stocks,300025,2026-04-01,432768.98
252,151,Cryptocurrency,471430,2026-01-09,660333.2
253,179,Cryptocurrency,479753,2025-06-21,616032.83
254,299,Fixed Deposits,11842,2026-04-28,14899.4
255,203,Fixed Deposits,326674,2025-05-04,505540.06
256,195,Fixed Deposits,310325,2026-05-20,463385.47
257,299,Cryptocurrency,454957,2024-10-14,544657.85
258,316,Mutual Funds,401224,2024-12-26,451110.13
259,425,Stocks,382519,2025-04-16,539233.06
260,306,Fixed Deposits,370214,2024-12-20,344901.8
261,415,Stocks,417099,2026-05-07,555926.43
262,483,Stocks,270690,2025-10-26,256435.54
263,397,Stocks,270621,2024-10-21,232883.05
264,200,Fixed Deposits,96049,2025-10-07,125254.68
265,108,Mutual Funds,349257,2025-04-01,522450.4
266,163,Fixed Deposits,78457,2026-06-05,74712.12
267,179,Fixed Deposits,213188,2025-06-28,175363.55
268,457,Stocks,216431,2026-06-24,280325.94
269,442,Stocks,177357,2026-04-13,173654.37
270,470,Fixed Deposits,290978,2025-11-30,403656.98
271,459,Mutual Funds,120834,2025-04-11,121633.84
272,141,Fixed Deposits,107160,2024-07-17,97799.31
273,176,Stocks,378781,2026-06-07,523347.58
274,248,Mutual Funds,82890,2025-03-03,70343.94
275,313,Cryptocurrency,184305,2025-10-24,169027.85
276,304,Gold,475124,2024-08-17,708672.55
277,123,Cryptocurrency,113421,2025-12-01,163372.74
278,421,Mutual Funds,27201,2024-11-01,41652.17
279,65,Fixed Deposits,484333,2024-11-20,500673.34
280,71,Mutual Funds,222083,2025-10-23,250418.73
281,353,Fixed Deposits,115623,2025-06-30,131690.13
282,57,Gold,46715,2024-11-01,56227.82
283,416,Stocks,197403,2025-11-10,169739.26
284,283,Stocks,164222,2025-04-03,186149.8
285,10,Fixed Deposits,160576,2025-08-29,198960.6
286,469,Cryptocurrency,497760,2025-03-24,548107.13
287,17,Cryptocurrency,87681,2025-04-22,134292.67
288,428,Gold,91167,2025-09-02,117307.29
289,31,Cryptocurrency,51543,2025-01-03,53642.74
290,318,Cryptocurrency,451520,2024-08-16,426762.84
291,386,Mutual Funds,145358,2026-06-19,187303.83
