goal_id,user_id,goal_name,target_amount,current_amount,deadline
1,32,House Down Payment,600597,24625,2027-04-30
2,492,House Down Payment,299339,96639,2026-07-24
3,307,Car Purchase,930417,661880,2026-09-15
4,349,House Down Payment,561434,342285,2026-12-28
5,56,Vacation,183301,90877,2028-10-05
6,440,House Down Payment,870490,478397,2029-02-16
7,483,House Down Payment,977791,218850,2027-09-06
8,46,Emergency Fund,837117,784504,2029-07-03
9,227,Car Purchase,932500,768117,2028-12-31
10,37,Vacation,997546,55220,2029-02-22
11,278,Emergency Fund,668418,327021,2029-03-01
12,173,Car Purchase,128544,59839,2028-10-03
13,195,Car Purchase,912233,555400,2029-04-18
14,22,House Down Payment,611063,601553,2027-03-20
15,191,Vacation,214399,38108,2028-08-16
16,17,Car Purchase,235898,226151,2029-01-24
17,242,Car Purchase,437765,268008,2027-11-14
18,366,Vacation,935593,254585,2028-08-09
19,307,Car Purchase,666063,365620,2029-03-04
20,452,Car Purchase,411014,234349,2027-02-24
21,134,Car Purchase,409722,405607,2027-09-27
22,385,Emergency Fund,198780,192781,2027-02-15
23,318,Vacation,212002,78478,2027-07-02
24,151,Vacation,928820,647397,2027-04-04
25,354,House Down Payment,189278,14770,2027-04-12
26,484,Emergency Fund,831456,546889,2026-10-27
27,439,Car Purchase,418098,153100,2027-01-13
28,486,House Down Payment,460165,31728,2026-09-24
29,114,Car Purchase,872377,640069,2027-05-11
30,359,Car Purchase,594871,248037,2027-07-16
31,37,Emergency Fund,479485,151691,2027-10-14
32,199,Vacation,211050,105835,2027-12-17
33,62,Emergency Fund,857922,767925,2028-01-18
34,178,Vacation,182344,58232,2028-10-06
35,171,Car Purchase,149830,127564,2029-07-08
36,100,House Down Payment,502001,439931,2029-03-06
37,378,Vacation,294508,292989,2026-09-04
38,173,Emergency Fund,143525,118329,2029-06-01
39,291,Vacation,628278,340952,2029-03-09
40,500,Car Purchase,177618,116385,2029-06-12
41,287,House Down Payment,469831,31860,2026-11-16
42,472,House Down Payment,779281,455074,2028-05-01
43,51,Emergency Fund,759682,503122,2028-09-30
44,298,Emergency Fund,781940,238873,2027-04-05
45,111,Car Purchase,743870,684694,2027-10-02
46,144,Emergency Fund,510815,160294,2029-06-11
47,72,Car Purchase,379183,372753,2028-05-25
48,243,Emergency Fund,512560,205503,2026-09-26
49,134,Emergency Fund,344979,56280,2028-07-23
50,387,House Down Payment,660751,161842,2028-11-14
51,158,Emergency Fund,800774,460823,2028-03-09
52,7,Emergency Fund,216163,197970,2027-02-05
53,330,Car Purchase,491425,466333,2028-05-20
54,28,Emergency Fund,711744,346404,2028-04-25
55,408,Vacation,992629,670121,2027-09-18
56,17,Emergency Fund,124362,14964,2027-09-14
57,260,Emergency Fund,432784,313761,2027-04-30
58,358,Vacation,375345,209403,2026-12-23
59,181,House Down Payment,393641,38562,2028-03-03
60,372,Emergency Fund,152402,27455,2026-10-31
61,18,Vacation,105391,67533,2029-01-20
62,328,Vacation,847076,768084,2028-06-16
