account_id,user_id,bank_name,account_type,opening_balance,current_balance,balance_category
1,1,Canara Bank,Savings,5640.0,0.0,
2,2,Sbi,Savings,14703.0,21460.0,Low
3,2,Kotak Mahindra,Current,7930.0,49972.0,Low
4,2,Axis Bank,Current,35768.0,67562.0,Medium
5,3,Hdfc,Current,58671.0,95503.0,Medium
6,3,Canara Bank,Current,95923.0,97249.0,Medium
7,3,Kotak Mahindra,Current,40653.0,76133.0,Medium
8,4,Axis Bank,Savings,24275.0,60162.0,Medium
9,4,Sbi,Savings,22674.0,48962.0,Low
10,5,Icici,Current,70221.0,55408.0,Medium
11,5,Sbi,Savings,50418.0,93808.0,Medium
12,5,Axis Bank,Current,37383.0,47965.0,Low
13,6,Punjab National Bank,Current,44888.0,30373.0,Low
14,6,Kotak Mahindra,Current,94657.0,90347.0,Medium
15,6,Axis Bank,Current,79661.0,75918.0,Medium
16,7,Kotak Mahindra,Savings,20058.0,15618.0,Low
17,8,Axis Bank,Savings,99898.0,142031.0,Medium
18,8,Punjab National Bank,Savings,62275.0,60855.0,Medium
19,9,Kotak Mahindra,Current,49244.0,41237.0,Low
20,9,Kotak Mahindra,Current,76814.0,75785.0,Medium
21,10,Punjab National Bank,Current,73614.0,89342.0,Medium
22,10,Icici,Current,19119.0,25152.0,Low
23,11,Axis Bank,Savings,40911.0,81047.0,Medium
24,11,Axis Bank,Current,59565.0,68386.0,Medium
25,12,Punjab National Bank,Savings,29737.0,72252.0,Medium
26,13,Punjab National Bank,Current,7142.0,18073.0,Low
27,13,Kotak Mahindra,Current,49128.0,98278.0,Medium
28,13,Axis Bank,Savings,92639.0,83289.0,Medium
29,14,Icici,Current,53598.0,66309.0,Medium
30,15,Punjab National Bank,Current,35872.0,21295.0,Low
31,15,Icici,Current,70076.0,76286.0,Medium
32,15,Hdfc,Savings,66049.0,82066.0,Medium
33,16,Axis Bank,Savings,71169.0,108863.0,Medium
34,17,Hdfc,Savings,98643.0,108568.0,Medium
35,18,Sbi,Current,54410.0,79022.0,Medium
36,19,Axis Bank,Current,89603.0,116245.0,Medium
37,20,Punjab National Bank,Savings,6889.0,0.0,
38,20,Canara Bank,Current,41497.0,36737.0,Low
39,20,Icici,Savings,38327.0,39484.0,Low
40,21,Sbi,Current,29616.0,28841.0,Low
41,21,Hdfc,Current,81100.0,73658.0,Medium
42,21,Kotak Mahindra,Current,97060.0,119177.0,Medium
43,22,Punjab National Bank,Current,91097.0,127782.0,Medium
44,22,Kotak Mahindra,Savings,83643.0,117885.0,Medium
45,23,Axis Bank,Savings,55970.0,59245.0,Medium
46,24,Sbi,Savings,56299.0,42742.0,Low
